S. No.,Odorant Materials,EEG Wave Changes,Brain Functions,Reference
1.,Galaxolide,Alpha decreased.,Odors produce divided attention even when undetected.,[74]
2.,m-Xylene,Alpha increased.,Stimulating and excitatory effects.,[75]
3.,"Birch tar, galbanum, heliotropine, jasmine, lavender, lemon and peppermint","Increased theta for birch tar, jasmine, lavender and lemon.",Subjects differed in their subjective responses to the odors.,[80]
4.,"5-α-Androstan-3-one, bangalol, white sapphire, indole, linalyl acetate, eucalyptus oil and ammonia.",Alpha increased.,From more anterior electrodes—related to psychometric responses.,[70]
5.,Phenylethyl alcohol and valeric acid,Valeric acid—alpha 2 increased.,Unpleasant odor leads to a cortical deactivation.,[76]
6.,Lavender and rosemary,Lavender—beta increased. Rosemary—frontal alpha and beta decreased.,Lavender—increased drowsiness. Rosemary—increased alertness.,[9]
7.,"Synthetic odors—almond, chocolate, spearmint, strawberry, vegetable, garlic, onion and cumin Odors of real foods—chocolate, baked beans and rotting pork",Chocolate odor—less theta activity.,Reduced level of attention.,[59]
8.,Chewing of marketed gum,Alpha power increased.,Arousal psychosomatic responses.,[77]
9.,"Valeriana off, Lavandula off, Passiflora incarnata, Piper methysticum, Melissa off, Eschscbolzia californica, Hypericum perforatum and Ginkgo biloba",Valerian extract—delta and theta activity increased and beta activity decreased.,Self-rated tiredness increased under some of the plant extracts.,[13]
10.,"(R)-(−)-, (S)-(+)- and (RS)-(±)-forms of linalools",(RS)-(±)-linalool—greater decrease of the beta wave after work than before work.,(RS)-(±)-linalool and (R)-(−)-linalool -favorable impression. (S)-(+)-linalool—unfavorable impression.,[88]
11.,Chewing regular gum or gum base without flavor,Alpha-2 and beta-2 increased for regular gum and decreased for gum base.,Activates different brain neuronal populations.,[83]
12.,"Sedative effects—lemon, lavender and sandalwood Awakening effects—jasmine, ylang-ylang, rose and peppermint",Awakening fragrances—decreased alpha and beta activities.,Sedative fragrances—improvement in productivity.Awakening fragrances—effect in mitigating the workload.,[82]
13.,"Lavender, chamomile, sandalwood and eugenol",Alpha 1 decreased at parietal and posterior temporal regions.,Subjects felt comfortable.,[61]
14.,Chewing gum with and without flavor and flavored aromatic oil,Chewing gum with flavor and inhale aromatic oil increase alpha and beta waves.,Induce concentration with a harmonious high arousal state in brain function.,[84]
15.,Enantiomers of linalools,(R)-(−)-linalool—beta decreased after hearing environmental sound. Mental work—beta increased.,Odor perception and responses—chiral dependence and also with task dependence.,[89]
16.,Aroma of soybeans heated to various temperatures,Alpha wave increased—heated after immersion in fructose–glycine solution.,Amino-carbonyl reaction aroma products increase brain alpha waves.,[78]
17.,β-Damascenone,Non-significant trend for left frontal differences in EEG associated with different liking responses.,Left frontal response associated with liking an odor.,[91]
18.,Lavender and rosemary aromas,Induce left frontal EEG shifting in adults and infants with greater baselines than right frontal EEG activation.,Associated with greater approach behavior and less depressed affect.,[97]
19.,"General workers, perfume salespersons and professional perfume researchers",Professional perfume researchers respond to odors mainly in the frontal region.,Functional coupling for people—occupationally exposed to odors may be related to psychological preference.,[71]
20.,Lavender and rosemary,Increased relative left frontal EEG asymmetry.,Infants of depressed and non-depressed mothers respond differently to odors.,[62]
21.,"Para-cresol 4-methylphenol, 2-heptanone, methional 3-methylthiopropionaldehyde and dimethyltrisulphide.",Theta wave activation in frontal region between the different populations.,Cultural differences in odor responsiveness.,[93]
22.,Pleasant odor,Beta wave increased in the left frontal region.,Enhancement of left frontal brain region by a pleasant odor.,[92]
23.,Neroli and grapefruit oils,Slow alpha (8–10 Hz) and theta activities increased in the occipital region.,Reduce the cortical deactivation or promote a relaxed state.,[79]
24.,Low-dose alcohol,Theta power decreased in both hemispheres in the high-dose condition.,Corresponding to working memory demand.,[81]
25.,Odor of incense and rose oil,Fast alpha activity increased in bilateral posterior regions during incense exposure.,Cortical and function of inhibitory processing of motor response.,[14]
26.,Citrus bergamia oil,"Negative percentage changes of the ratio of low to high frequency in the music, aroma and combined groups than control group.",Listening to soft music and inhaling Citrus bergamia essential oil—effective method of relaxation.,[90]
27.,Abies sibirica essential oil,Increased theta activity after the visual display terminal task.,Prevention of visual display terminal—mental health disturbance.,[15]
28.,Lavandula angustifolia,"Good sleep quality—occipital and parietal alpha decreased, frontal theta and occipital beta increased. Poor sleep quality—theta increased in the all cranial regions.",Beneficial effect for female adults with sleep disorder.,[98]
29.,Lavender oil,Theta and alpha activities increased.,Relaxing effect of inhaling lavender oil.,[12]
30.,Essential oil of Zizyphus jujuba seeds,"Fast alpha increased in the left prefrontal, right prefrontal and left frontal regions.",Increasing attention and relaxation.,[99]
31.,Essential oil of Mentha arvensis L. f. piperascens aerial parts,Relative fast alpha increased. Gamma and the spectral edge frequency 90% decreased.,Reducing mental stress.,[100]
32.,Jasmine oil,Beta wave increased in the anterior center and left posterior regions.,"Increased—feeling of well-being, active, fresh and romantic.",[102]
33.,Ylang–ylang essential oil,Prolonged the latencies of P300,Not affect information processing resources in patients with TLE.,[63]
34.,"Essential odors—mint and lemon Commerical odors—criton-verbena, lize, melody and rozan",All odors affected the EEG waves in at least some subjects.,Essential odors stimulated more than commercial odors and women are more sensitive than men.,[35]
35.,Pan-fired Japanese green tea (Koushun and Kouju),Kouju affect the beta 1 at right frontal region.,Improve memory task performance.,[103]
36.,Magnolia kobus flower,Absolute alpha decreased at left parietal region.,Awaken and increase the concentration states of brain.,[101]
37.,Strawberry aroma (food) and the odor of lily of the valley (non-food),Specific scalp potential maps for the two conditions.,Food odor—associated with the processing of rewards. Non-food odor—reflects odor characteristics excluding the reward.,[104]
38.,Hyperbaric oxygen exposure,Fast delta decreased and alpha increased in the posterior regions.,Oxygen-toxicity diving-related problems.,[151]
39.,"Lemon, peppermint, and vanilla",Theta showed statistically significant results between different odor conditions,Stimuli can affect the frequency characteristics of the electrical activity of the brain.,[16]
40.,Isomers of limonene and terpinolene,(+)-Limonene—relative high beta increased in the right temporal region. Terpinolene—relative mid beta decreased and relative fast alpha increased in the right prefrontal region.,Terpinolene—reducing the tension and increasing the relaxation and stabilization states of brain function.,[17]
41.,Essential oil of Inula helenium root,"Theta (in all the regions except T3), beta (Fp1) and mid beta (P4) and relative theta (Fp1, Fp2, F3 and F4) decreased.",Enhance the alertness state of brain.,[60]
42.,Lavender and bergamot,The absolute theta increased at the right prefrontal region Significant differences in the relative fast and slow alpha.,Both physical and mental states became more stable and relaxed.,[64]
